ticker,name,group,performance_today,performance_1w,performance_1m,performance_3m,performance_6m,performance_ytd
FRMI,Fermi Inc,REIT - Specialty,-6.1386137,-14.285714,-22.801304,-50.105263,-34.166668,-40.75
FRNM,Freenome Inc,Diagnostics & Research,-2.1390374,-7.047619,12.615385,0,0,0
FRO,Frontline Plc,Oil & Gas Midstream,2.117973,9.277696,22.30915,26.044466,60.366802,136.43446
FROG,JFrog Ltd,Software - Application,1.9354838,8.566194,0.1690617,14.603481,124.27254,51.777138
FRPT,Freshpet Inc,Packaged Foods,-1.6935863,-6.7251897,-13.709566,13.961098,-2.8664393,2.8885605
FRSH,Freshworks Inc,Software - Application,0.15822785,6.1190276,2.676399,42.88939,57.65878,3.3469388
FRT,Federal Realty Investment Trust,REIT - Retail,-0.5238802,-1.0680792,-3.4655144,-5.3658943,10.4508,13.025794
FRVO,Fervo Energy Co,Utilities - Renewable,1.3368984,-12.064965,-16.243093,-56.796806,0,0
FSBC,Five Star Bancorp,Banks - Regional,-0.9567297,-0.7625272,-2.7955613,1.5154892,25.275028,27.305758
FSCO,FS Credit Opportunities Corp,Closed-End Fund - Debt,0.7692308,-0.38022813,2.745098,6.2880325,4.8,-16.825397
FSK,FS KKR Capital Corp,Asset Management,-0.24937657,0.1669449,-0.08326395,16.84518,20.361084,-18.973667
FSLR,First Solar Inc,Solar,-2.2700927,-0.3741999,-7.119578,-21.482344,4.9372473,-22.543352
FSLY,Fastly Inc,Software - Application,-2.2526147,7.001321,-16.322313,35.75419,-3.5714285,138.70334
FSM,Fortuna Mining Corp,Gold,0.08598452,-5.596107,8.077994,25.701944,35.822636,18.654434
FSS,Federal Signal Corp,Farm & Heavy Construction Machinery,-0.24700071,-3.7207322,-10.353576,-4.5899425,7.1137633,4.134819
FSSL,FS Specialty Lending Fund,Closed-End Fund - Debt,1.1274935,-0.42698547,0.95238096,-0.085689805,-6.8690095,-17.538897
FSUN,Firstsun Capital Bancorp,Banks - Regional,-0.37285608,0.4259584,-2.1961932,10.748826,12.869615,6.496612
FSV,FirstService Corp,Real Estate Services,-2.893356,-4.696453,-6.059198,-4.668795,-2.1266294,-15.517906
FTAI,FTAI Aviation Ltd,Aerospace & Defense,0.25,-4.7557354,-22.420086,-36.09793,-23.29696,-10.3683
FTDR,Frontdoor Inc,Personal Services,0.02496879,-0.37304154,-4.334328,11.96199,40.21701,38.880222
FTH,Faeth Therapeutics Inc,Biotechnology,-9.5165,-2.076412,7.934086,98.48485,0,0
FTI,TechnipFMC plc,Oil & Gas Equipment & Services,2.8818443,-3.6499164,-6.064403,15.037594,14.878945,68.24506
FTK,Flotek Industries Inc,Oil & Gas Equipment & Services,2.4297645,-3.2281206,-5.8618283,19.06443,67.99502,56.58735
FTNT,Fortinet Inc,Software - Infrastructure,1.2868727,9.636179,10.599936,19.09763,111.75676,117.06334
FTRE,Fortrea Holdings Inc,Biotechnology,13.325675,17.510424,9.005525,28.87002,107.03043,14.376812
FTS,Fortis Inc,Utilities - Regulated Electric,-1.054189,-2.939042,-5.2090716,-4.617579,-2.8332727,3.0034657
FTV,Fortive Corp,Scientific & Technical Instruments,2.2830224,1.146748,-6.909631,-7.504506,2.2274537,2.24597
FUBO,fuboTV Inc,Broadcasting,-8.087616,1.8674136,6.231743,18.329718,-19.542772,-63.92196
FUL,H.B. Fuller Company,Specialty Chemicals,-0.15695508,-1.8325617,-19.959106,-21.538698,3.2460945,-14.413051
FULT,Fulton Financial Corp,Banks - Regional,0,1.4523708,-2.9423785,3.7117903,21.04995,22.86601
FUN,Six Flags Entertainment Corp,Leisure,-3.414264,-10.916725,-18.397436,-48.957497,-21.66154,-17.014341
FUTU,Futu Holdings Ltd ADR,Capital Markets,-2.1510215,-6.8699675,-0.7123288,12.5,-19.478596,-33.792095
FWONA,Liberty Media Corp,Entertainment,-0.6739776,-1.9176537,-6.9655466,3.413416,16.695745,-2.718729
FWONK,Liberty Media Corp,Entertainment,-0.4192872,-1.8595041,-6.844479,4.6716614,16.67895,-3.56309
G,Genpact Ltd,Information Technology Services,-1.5646446,2.8391168,6.4094954,26.938053,-7.3385015,-23.34331
GAB,Gabelli Equity Trust Inc,Closed-End Fund - Equity,-0.5424955,-2.8268552,-4.347826,0.18214937,-0.36231884,-10.858995
GABC,German American Bancorp Inc,Banks - Regional,-0.18032458,1.1573604,-2.1986651,10.735719,22.860666,27.156713
GAM,General American Investors Co Inc,Closed-End Fund - Equity,-1.0141364,-2.127013,-4.8589573,0.7191995,8.983252,9.688405
GAP,Gap Inc,Apparel Retail,-2.3422563,-4.3539324,1.2388504,-3.4042554,-14.55458,-20.195312
GATX,GATX Corp,Rental & Leasing Services,1.2720045,0.7115428,-1.2732507,0.6603827,8.281724,5.1533017
GBCI,Glacier Bancorp Inc,Banks - Regional,-1.0928962,-1.1145105,-8.78855,-6.566178,4.4070144,2.7241771
GBDC,Golub Capital BDC Inc,Asset Management,-0.32076985,-3.117693,-5.259146,0.64777327,0.64777327,-8.400885
GBTG,Global Business Travel Group Inc,Travel Services,0.10570825,-0.10548523,0.31779662,1.1752137,73.44322,23.79085
GBX,Greenbrier Cos. Inc,Railroads,-0.8356546,-0.09354537,-6.6841416,-14.026967,-15.0358,-8.60077
GCMG,GCM Grosvenor Inc,Asset Management,0.9493671,-1.0852714,-6.861314,5.892116,31.682146,12.720848
GCT,GigaCloud Technology Inc,Software - Infrastructure,-0.10428517,1.5516577,4.783214,55.047085,30.699577,34.12678
GD,General Dynamics Corp,Aerospace & Defense,0.50166756,1.6814586,-8.319272,2.4542155,3.7075598,6.5169606
GDDY,Godaddy Inc,Software - Infrastructure,-2.0005744,9.380342,10.836852,32.892006,20.603134,-17.488716
GDOT,Green Dot Corp,Credit Services,-0.975976,1.3835511,-1.9330856,3.4509804,19.474638,2.9664326
GDRX,GoodRx Holdings Inc,Health Information Services,-1.9662921,4.491018,-6.1827955,31.203007,71.92118,28.782288
GDS,GDS Holdings Limited ADR,Information Technology Services,0.5616121,-6.0203767,-13.96269,-3.303685,-26.437893,-12.779369
GDV,Gabelli Dividend & Income Trust,Closed-End Fund - Equity,-0.7482993,-1.7839111,-4.733921,0.7248878,10.782081,5.0774217
GE,GE Aerospace,Aerospace & Defense,-3.3096108,-5.6450124,-16.885471,-14.14551,7.0644026,-0.31815082
GEF,Greif Inc,Packaging & Containers,-0.15925518,-2.4652944,-6.7078753,18.270208,30.191692,20.384047
GEHC,GE HealthCare Technologies Inc,Medical Devices,-0.28015563,-1.6878932,-11.468841,4.0266275,-8.011486,-21.884907
GEL,Genesis Energy LP,Oil & Gas Midstream,-0.64808816,-2.232143,-4.1875,5.9433312,-12.996594,-1.7307693
GEN,Gen Digital Inc,Software - Infrastructure,-0.5730659,4.939516,13.93652,29.156328,48.92704,14.858404
GENB,Generate Biomedicines Inc,Biotechnology,1.1875,4.3170104,3.1867433,11.732229,31.94784,0
GENI,Genius Sports Limited,Internet Content & Information,-3.5294118,-6.685633,-15.463918,7.5409837,44.812363,-40.47187
GEO,Geo Group Inc,Security & Protection Services,1.3290113,-1.1072445,0.35313,6.7622952,90.26172,93.92059
GERN,Geron Corp,Biotechnology,-4.379562,-6.428571,-14.379085,3.9682539,-10.2739725,-0.75757575
GEV,GE Vernova Inc,Specialty Industrial Machinery,0.9202524,-7.1742516,-18.182577,-20.448217,3.729423,35.07505
GFF,Griffon Corp,Building Products & Equipment,-1.1192837,-4.9492774,-9.219026,1.7886536,35.912086,25.947046
GFI,Gold Fields Ltd ADR,Gold,-0.48701298,-8.7603655,3.3975904,11.165803,9.828513,-1.7178196
GFL,GFL Environmental Inc,Waste Management,-1.0091528,0.42857143,1.5406836,20.17094,3.5092025,-1.7927823
